"","clusterid","mean","size","withinss"
"1",3,"0.286575430245982 0.32799756719186 0.271642515828122 0.268047640014091 0.257007620191825 0.253344768698157 0.278998206905235 0.281343845220579 0.298688810063538 0.312311962703588 0.3696037946739 0.367643948353408 0.364783576162604 0.387819039006062 0.426353083126519 0.380801582550053 0.334776949493731 0.27748201393193 0.253814632063315 0.200482889661348 0.167464937866678 0.14719046056693 0.102962458093308 0.112506095834956 0.101664270893252 0.0934070269411039 0.0694109693298164 0.0699992444757882 0.0592078871000011 0.0609542974485639 0.0464407965717461 0.0437008431180278 0.0473257696786805 0.0385579807802141 0.0388583007486305 0.0376682296818348 0.0326206241822622 0.0211759472662092 0.0209267537743126 0.0210079457316644 0.0282605952300501 0.0192823102870491 0.0135216433573017 0.00732611545680983 0.00740200732178024 0.00670526090148325 0.00838780062973168 0.00703432971193816 0.00690764959307664 0.00451610818412511 0.00402153680055066 0.00737886083123653 0.00331587489241798 0.00275202816422443 0.00204560123243452 0.00331587489241798 0.00326570557095805 0.00326570557095805 0.00156470952589288 7.55773157417466E-4 7.55773157417466E-4 7.16380802952932E-6 0.00171140146658351 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",335,747.305911120516
"2",7,"0.56552693861879 0.658495821506084 0.674799020903062 0.678466749911299 0.646599112263791 0.432557599021305 0.262981395006747 0.0965624107888937 0.0302875931453073 0.0277548681581063 0.0274055015244725 0.0235708518814241 0.013056931167812 0.0100293879152407 0.00882031114039025 0.0077261249441935 0.00714188279255478 0.00616886395597242 0.00813338142825656 0.00617313593534536 0.00407257976156948 0.00340864287220813 0.00595295497468911 0.00261193127939999 0.00255557038303855 0.00194665680778313 3.55935928876564E-4 6.57620799311302E-4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",385,209.265868124903
"3",5,"0.514937304332182 0.698125965931199 0.32241417846217 0.130302584559053 0.0164934545610276 0.0178255950550486 0.0141572535299664 0.0120644855578307 0.00638640505001254 0.00351864190460771 0.0037604336875189 0.00213242949414743 0.00179433825684262 0.00220137305121776 0.00203304971236941 0.0013570177582838 6.07479448321353E-4 8.1553427715127E-4 6.67053546450637E-4 2.19767286327112E-5 2.66311607490952E-4 6.59404490062284E-5 2.05080693841906E-4 6.79631323479517E-6 1.01631209423232E-4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",1136,357.937815577957
"4",2,"0.423189341164281 0.538481357808182 0.522230549764867 0.528746357198878 0.505070283523388 0.492349593247987 0.522988870053934 0.503879888674175 0.478627120450967 0.505651639268857 0.460042755289986 0.494842403191159 0.51894147736557 0.541868033996348 0.522622183950185 0.504688210273517 0.484459665246483 0.502757077624975 0.521124760775357 0.509297696865842 0.498962711894053 0.487847947805692 0.49589277192028 0.446870792208701 0.40008632219727 0.357496237857992 0.311645456419935 0.251384275958274 0.237498784700583 0.179088626317888 0.140286477929195 0.148917386350451 0.153016799892307 0.142743499891414 0.110292151499869 0.0800820840694767 0.0452012267518115 0.0543783888485641 0.0408647863929797 0.0375342144158768 0.0350742333511499 0.0345175026795197 0.0286914921896643 0.0229696928657921 0.0132075512404203 0.0100941071835408 0.00581148739898373 0.00611140053139538 9.24694058945587E-4 0.00509113416753755 0.00497997856860865 0.00497997856860865 0.00497997856860865 0.00497997856860865 0.00497997856860865 7.61378376854097E-5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",140,469.300014584523
"5",6,"0.0793928181916024 0.0862524946377806 0.0744702924654374 0.0483355610739877 0.0275313736508411 0.00857834677099098 0.00976159422729532 0.00627561635661443 0.0049014182940302 0.0027670311481748 0.00464770318794171 0.00245903514986589 0.00255832102283896 0.00178027466453908 0.00105821998077792 0.00100510514570408 7.94577001773992E-4 5.90579960732803E-4 7.5668352108764E-4 7.16690506349409E-4 2.27888768254712E-4 1.74811272428962E-4 7.46751714275838E-4 7.31862067126371E-4 1.46325457862237E-4 4.51224647867026E-4 1.50907183598263E-4 2.9641823315355E-5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",1067,114.886213211971
"6",4,"0.202444368104231 0.189617518672483 0.29315591204335 0.368448483344945 0.331382085378249 0.30507242336923 0.241586498795112 0.193112431925595 0.17359419105889 0.1052778787547 0.0986951175285488 0.0761088111254512 0.0531547422332366 0.0301549960698193 0.0218351388883778 0.0233296948293427 0.0169813178474723 0.00824291373876587 0.0110404178435177 0.00598498485080616 0.00396419756059349 0.00530729443801784 0.00258850646262541 0.00276019739045564 0.00358724417019612 0.00243462324884979 0.00579783912846099 0.00124548957488765 0.00132991639910686 0.00201023182118708 0.00179616202126394 0.00174533865985849 0.00245257436727935 3.25002803696619E-4 0.00138770326869732 0.00137673756861982 0.00159011483210084 0.00159011483210084 0.00114310230912596 0.00140800274271028 5.99058677448039E-5 4.46315034416922E-5 2.56789920298911E-5 0.00119927214449234 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",490,401.018238111823
"7",1,"0.452600880244191 0.521754389987708 0.565424298162164 0.571546661876667 0.570490210380996 0.572463776117768 0.575376846691283 0.615627811087423 0.643732366393354 0.496700659914358 0.370016903506569 0.27228295064781 0.172775069429038 0.128052025990185 0.0725797934955887 0.0390426552311365 0.0332210372463593 0.0106051401485948 0.0198921997970289 0.00455639008652289 0.00538742794986013 0.00200831836929707 0.0036810815785909 0.00372145727855271 0.00278909363653615 0.00452927051555799 0.00283158247806341 8.2243006668952E-4 7.14526664089811E-4 7.59191971444904E-4 4.32271773612366E-5 0.00163234264111457 0.00163234264111457 0.00163234264111457 0.00163234264111457 2.44614060403534E-4 3.56821614649627E-4 7.03288910374587E-4 7.03288910374587E-4 7.03288910374587E-4 7.03288910374587E-4 7.03288910374587E-4 7.03288910374587E-4 4.32271773612366E-5 4.1285874619208E-4 4.32271773612366E-5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",360,431.63889795501
"8",0,"0.684916423926848 0.0109591999188917 0.0176957966119721 0.0169736881047973 0.00793401239971214 0.00466021352235421 0.00347777410037433 0.00203498573493407 0.00173771247567826 0.0019790485021004 0.00274040508433498 0.00140350266839852 0.00157666124529701 0.00107912611754129 2.60071863904106E-4 5.26621564019092E-4 3.71900162543661E-4 1.82134505715065E-5 9.89591873797723E-5 1.23041936086078E-4 1.82134505715065E-5 6.03526150204031E-4 1.31259897143177E-4 2.42513417370547E-4 1.82134505715065E-5 1.31259897143177E-4 2.42513417370547E-4 1.82134505715065E-5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",1044,38.9005511862478
