"Billing.Provider.FEIN"	"sev_S33.5XX_99456"	"sev_S33.5XX_99214"	"sev_S39.012_99204"	"sev_S13.4XX_97799"	"sev_S16.1XX_99456"	"fre_S33.5XX_99456"	"fre_S33.5XX_99214"	"fre_S39.012_99204"	"fre_S13.4XX_97799"	"fre_S16.1XX_99456"
"982452976"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"759422239"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"149185576"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"077137179"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"163179302"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"063895779"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"465783884"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"181862939"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"701365519"	NA	NA	NA	NA	NA	"x"	NA	NA	NA	NA
"610833936"	NA	NA	NA	NA	NA	NA	"x"	NA	NA	NA
"695188196"	NA	NA	NA	NA	NA	NA	NA	"x"	NA	NA
"010449447"	NA	NA	NA	NA	NA	NA	NA	NA	"x"	NA
"484164101"	NA	NA	NA	NA	NA	NA	NA	NA	"x"	NA
"839400776"	NA	NA	NA	NA	NA	NA	NA	NA	"x"	NA
"593478876"	NA	NA	NA	NA	NA	NA	NA	NA	"x"	NA
"066288911"	NA	NA	NA	NA	NA	NA	NA	NA	"x"	NA
